# Parachute updated (Up to date),,,
# 621 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Recovery device deployment at high speed (90.7 ft/s),,,
#,,,
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event LAUNCH occurred at t=0 seconds,,,
Time(s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0,0,0,-20.74
0.01,0,0,81.921
0.02,0.0040964,0.81931,226.62
0.03,0.023623,3.0862,293.29
# Event LIFTOFF occurred at t=0.04 seconds,,,
0.04,0.069154,6.0203,355.96
0.05,0.14716,9.5814,391.56
0.06,0.26256,13.499,417.85
0.07,0.41845,17.68,400.21
0.08,0.61526,21.684,366.48
0.09,0.85043,25.35,382.14
0.1,1.1231,29.174,397.81
0.11,1.4347,33.154,407.57
0.12,1.7866,37.231,411.44
0.13,2.1795,41.348,415.31
0.14,2.6138,45.503,419.19
0.15,3.0898,49.697,423.06
0.16,3.6079,53.93,426.93
0.17,4.1685,58.201,430.81
0.18,4.7721,62.511,434.63
0.19,5.419,66.86,436.77
0.2,6.1094,71.23,438.1
0.21,6.8436,75.613,439.43
0.22,7.6217,80.009,440.76
# Event LAUNCHROD occurred at t=0.23 seconds,,,
0.23,8.4438,84.419,442.09
0.245,9.7597,91.057,444.26
0.26749,11.921,101.07,447.51
0.30124,15.587,116.2,452.33
0.35124,21.964,138.9,459.37
0.40124,29.484,161.91,465.34
0.45124,38.162,185.22,466.24
0.50124,48.007,208.57,465.26
0.55124,59.018,231.87,464.03
0.60124,71.192,255.1,462.55
0.65124,84.526,278.24,460.83
0.70124,99.015,301.3,459.05
0.74632,113.07,322.02,457.55
0.79411,128.98,343.89,452.82
0.84411,146.74,366.54,446.55
0.89411,165.62,388.88,440.2
0.94411,185.62,410.89,433.53
0.98283,201.85,427.7,428.98
1.0143,215.52,441.2,425.01
1.0492,231.17,456.02,419.63
1.0992,254.49,476.93,410.84
1.1492,278.85,497.44,403.02
1.1805,294.65,510.11,399.33
1.2108,310.28,522.19,393.48
1.2538,333.1,539.05,383.5
1.3038,360.53,558.17,372.34
1.3396,380.76,571.53,365.98
1.3722,399.58,583.44,359.1
1.4211,428.52,600.88,346.51
1.4711,458.99,618.15,335.16
1.501,477.61,628.19,330.56
1.5418,503.57,641.65,320.67
1.5918,536.06,657.6,309.37
1.6204,554.97,666.46,305.93
1.6558,578.73,677.24,300
1.7058,612.96,692.14,291.27
1.74,636.82,702.1,286.95
1.7821,666.63,714.13,280.26
1.8321,702.68,728.07,271.55
1.8685,729.39,737.96,265.68
1.9185,766.62,751.13,255.25
1.9683,804.3,763.76,246.45
2.0183,842.8,776.03,237.93
2.0683,881.89,787.86,232.41
2.1183,921.58,799.41,188.22
2.1683,961.78,808.77,-49.325
2.2183,1002.2,806.33,-141.07
# Event BURNOUT occurred at t=2.2683 seconds,,,
2.2683,1042.3,799.34,-151.54
2.3183,1082.1,791.82,-148.9
2.3683,1121.5,784.45,-146.23
2.4183,1160.5,777.2,-143.67
2.4683,1199.2,770.08,-141.19
2.5183,1237.5,763.08,-138.81
2.5683,1275.5,756.19,-136.55
2.6183,1313.2,749.42,-134.3
2.6683,1350.5,742.76,-132.1
2.7183,1387.4,736.21,-130.07
2.7683,1424.1,729.76,-128.1
2.8183,1460.4,723.4,-126.04
2.8683,1496.4,717.15,-124.06
2.9183,1532.1,710.99,-122.23
2.9683,1567.5,704.93,-120.49
3.0183,1602.6,698.94,-118.82
3.0683,1637.4,693.05,-117.05
3.1183,1671.9,687.24,-115.28
3.1683,1706.1,681.52,-113.64
3.2183,1740.1,675.87,-112.17
3.2683,1773.7,670.3,-110.71
3.3183,1807.1,664.8,-109.16
3.3683,1840.2,659.38,-107.65
