# 709 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Body calculations may not be entirely accurate at supersonic speeds.,,,
#   Recovery device deployment at high speed (92.6 ft/s),,,
#,,,
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event LAUNCH occurred at t=0 seconds,,,
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0,0,0,162.8
0.01,0.00814,1.628,544.53
0.02,0.051658,7.076,781.08
# Event LIFTOFF occurred at t=0.03 seconds,,,
0.03,0.1615,14.893,847.15
0.04,0.35281,23.372,807.27
0.05,0.62693,31.453,757.68
0.06,0.97938,39.037,708.23
0.07,1.4052,46.126,690.42
0.08,1.901,53.036,694.34
0.09,2.4661,59.986,698.22
0.1,3.1009,66.974,702.1
0.11,3.8057,74,706.14
0.12,4.5811,81.067,710.44
0.12987,5.4157,88.084,714.67
0.13895,6.2452,94.579,718.47
0.14741,7.0709,100.66,722.02
0.15536,7.8937,106.4,725.36
# Event LAUNCHROD occurred at t=0.16288 seconds,,,
0.16288,8.7142,111.86,728.52
0.17415,10.022,120.09,733.89
0.19107,12.159,132.53,740.18
0.21645,15.761,151.35,745.37
0.25451,22.063,179.82,753.04
0.30451,31.999,217.62,762.03
0.35451,43.835,255.85,766.73
0.40451,57.588,294.3,770.43
0.45451,73.269,332.93,773.57
0.50451,90.885,371.7,775.26
0.54642,107.14,404.27,775.8
0.57813,120.36,428.92,776.34
0.60861,133.79,452.61,776.42
0.64462,150.59,480.6,776.04
0.69462,175.59,519.44,773.63
0.74462,202.53,558.17,769.83
0.76932,216.56,577.23,769.47
0.79291,230.39,595.39,767.29
0.82124,247.56,617.12,763.97
0.86372,274.47,649.53,757.85
0.90755,303.66,682.73,749.36
0.9287,318.27,698.62,747.34
0.95155,334.43,715.69,742.05
0.98582,359.4,741.07,732.9
1.0358,397.36,777.59,719.03
1.0563,413.42,792.34,717.07
1.0809,433.12,809.94,709.93
1.1178,463.48,836.03,698.05
1.1427,484.56,853.45,692.22
1.1627,501.79,867.3,687.04
1.1918,527.33,887.24,677.38
1.2355,566.7,916.64,660.95
1.2581,587.63,931.62,655.38
1.2921,619.65,953.74,641.19
1.3261,652.47,975.46,628
1.3578,683.63,995.24,615.61
1.4052,731.52,1024.2,598.12
1.4552,783.48,1054,582.77
1.5052,836.9,1083,567.64
1.5552,891.76,1111.2,552.28
1.6052,948,1138.5,530.28
1.6552,1005.6,1164.7,512.23
1.7052,1064.5,1190.1,499.92
1.7552,1124.6,1214.9,374.25
1.8052,1185.8,1233.6,29.575
1.8552,1247.5,1235.1,-222.86
1.9052,1309,1224,-318.92
1.9478,1360.9,1210.5,-338.57
# Event BURNOUT occurred at t=1.9978 seconds,,,
1.9978,1421,1193.8,-331.43
2.0478,1480.3,1177.4,-322.95
2.0978,1538.8,1161.5,-313.26
2.1478,1596.4,1146.1,-303
2.1978,1653.4,1131.2,-292.36
2.2478,1709.6,1116.9,-280.77
2.2978,1765.1,1103.1,-271.95
2.3478,1819.9,1089.7,-265.74
2.3978,1874.1,1076.6,-259.79
2.4478,1927.6,1063.7,-254.06
2.4978,1980.4,1051.1,-248.54
2.5478,2032.7,1038.9,-243.21
2.5978,2084.3,1026.8,-238.1
2.6478,2135.4,1015,-233.14
2.6978,2185.8,1003.5,-228.36
2.7478,2235.7,992.21,-222.91
2.7978,2285.1,981.22,-216.67
2.8478,2333.8,970.53,-210.85
2.8978,2382.1,960.13,-205.45
2.9478,2429.9,949.98,-200.33
2.9978,2477.1,940.09,-195.53
3.0478,2523.9,930.43,-190.98
3.0978,2570.2,920.99,-186.67
3.1478,2616,911.76,-182.56
3.1978,2661.3,902.73,-178.67
3.2478,2706.3,893.89,-174.89
3.2978,2750.7,885.24,-171.3
3.3478,2794.8,876.76,-167.91
3.3978,2838.4,868.44,-164.64
3.4478,2881.6,860.29,-161.41
3.4978,2924.4,852.3,-158.4
3.5478,2966.9,844.45,-155.48
3.5978,3008.9,836.75,-152.69
3.6478,3050.5,829.18,-149.93
3.6978,3091.8,821.75,-147.28
3.7478,3132.7,814.45,-144.81
3.7978,3173.3,807.27,-142.34
3.8478,3213.4,800.21,-139.92
3.8978,3253.3,793.28,-137.64
3.9478,3292.8,786.45,-135.46
3.9978,3331.9,779.73,-133.34
4.0478,3370.7,773.12,-131.19
4.0978,3409.2,766.61,-129.17
4.1478,3447.4,760.2,-127.23
4.1978,3485.3,753.88,-125.39
4.2478,3522.8,747.66,-123.53
4.2978,3560,741.53,-121.7
4.3478,3597,735.49,-119.95
4.3978,3633.6,729.53,-118.26
4.4478,3669.9,723.66,-116.62
4.4978,3705.9,717.87,-115.04
4.5478,3741.7,712.16,-113.51
4.5978,3777.2,706.52,-111.94
4.6478,3812.3,700.96,-110.5
4.6978,3847.3,695.47,-109.05
4.7478,3881.9,690.06,-107.56
4.7978,3916.3,684.71,-106.23
4.8478,3950.4,679.43,-104.9
4.8978,3984.2,674.22,-103.62
4.9478,4017.8,669.07,-102.31
4.9978,4051.1,663.99,-101.09
5.0478,4084.2,658.96,-99.898
5.0978,4117,654,-98.662
5.1478,4149.6,649.09,-97.557
5.1978,4181.9,644.24,-96.424
5.2478,4214,639.45,-95.269
5.2978,4245.9,634.72,-94.192
5.3478,4277.5,630.03,-93.171
5.3978,4308.9,625.4,-92.148
5.4478,4340,620.82,-91.134
5.4978,4371,616.29,-90.084
5.5478,4401.7,611.81,-89.141
5.5978,4432.1,607.37,-88.224
5.6478,4462.4,602.98,-87.304
5.6978,4492.4,598.64,-86.392
5.7478,4522.3,594.34,-85.467
5.7978,4551.9,590.09,-84.619
5.8478,4581.3,585.88,-83.779
5.8978,4610.5,581.71,-82.947
5.9478,4639.4,577.59,-82.128
5.9978,4668.2,573.5,-81.288
6.0478,4696.8,569.46,-80.495
6.0978,4725.2,565.45,-79.763
6.1478,4753.3,561.48,-79.042
6.1978,4781.3,557.55,-78.31
6.2478,4809.1,553.65,-77.547
6.2978,4836.7,549.79,-76.791
6.3478,4864.1,545.97,-76.075
6.3978,4891.3,542.18,-75.414
6.4478,4918.3,538.43,-74.763
6.4978,4945.1,534.71,-74.117
6.5478,4971.8,531.02,-73.478
6.5978,4998.2,527.36,-72.821
6.6478,5024.5,523.74,-72.175
6.6978,5050.6,520.14,-71.564
6.7478,5076.5,516.58,-70.969
6.7978,5102.3,513.04,-70.407
6.8478,5127.8,509.54,-69.821
6.8978,5153.2,506.06,-69.242
6.9478,5178.4,502.61,-68.659
6.9978,5203.5,499.2,-68.106
7.0478,5228.3,495.8,-67.593
7.0978,5253.1,492.44,-67.051
7.1478,5277.6,489.1,-66.535
7.1978,5302,485.78,-66.027
7.2478,5326.2,482.5,-65.521
7.2978,5350.2,479.23,-65.009
7.3478,5374.1,475.99,-64.515
7.3978,5397.8,472.78,-64.055
7.4478,5421.4,469.59,-63.57
7.4978,5444.8,466.42,-63.085
7.5478,5468,463.28,-62.627
7.5978,5491.1,460.16,-62.188
7.6478,5514,457.06,-61.762
7.6978,5536.8,453.98,-61.311
7.7478,5559.4,450.93,-60.908
7.7978,5581.9,447.89,-60.489
7.8478,5604.2,444.88,-60.07
7.8978,5626.4,441.89,-59.651
7.9478,5648.4,438.91,-59.245
7.9978,5670.3,435.96,-58.805
8.0478,5692,433.03,-58.414
8.0978,5713.6,430.12,-58.037
8.1478,5735,427.23,-57.67
8.1978,5756.3,424.35,-57.321
8.2478,5777.5,421.5,-56.965
8.2978,5798.5,418.66,-56.628
8.3478,5819.3,415.84,-56.248
8.3978,5840,413.03,-55.868
8.4478,5860.6,410.25,-55.504
8.4978,5881.1,407.48,-55.156
8.5478,5901.4,404.73,-54.841
8.5978,5921.5,402,-54.524
8.6478,5941.6,399.28,-54.208
8.6978,5961.5,396.58,-53.904
8.7478,5981.2,393.89,-53.552
8.7978,6000.9,391.22,-53.233
8.8478,6020.4,388.57,-52.92
8.8978,6039.7,385.93,-52.598
8.9478,6058.9,383.31,-52.308
8.9978,6078,380.7,-52.033
9.0478,6097,378.1,-51.748
9.0978,6115.9,375.52,-51.456
9.1478,6134.6,372.96,-51.192
9.1978,6153.2,370.4,-50.888
9.2478,6171.6,367.87,-50.621
9.2978,6189.9,365.34,-50.357
9.3478,6208.1,362.83,-50.101
9.3978,6226.2,360.33,-49.82
9.4478,6244.2,357.85,-49.532
9.4978,6262,355.38,-49.277
9.5478,6279.7,352.92,-49.029
9.5978,6297.3,350.48,-48.787
9.6478,6314.8,348.04,-48.552
9.6978,6332.1,345.62,-48.318
9.7478,6349.3,343.21,-48.052
9.7978,6366.4,340.82,-47.821
9.8478,6383.4,338.43,-47.598
9.8978,6400.3,336.05,-47.387
9.9478,6417,333.69,-47.156
# Event EJECTION_CHARGE occurred at t=9.9978 seconds,,,
9.9978,6433.6,331.34,-46.921
10.048,6450.1,329,-46.705
10.098,6466.5,326.67,-46.481
10.148,6482.8,324.35,-46.262
10.198,6499,322.04,-46.048
10.248,6515,319.75,-45.842
10.298,6530.9,317.46,-45.635
10.348,6546.8,315.18,-45.436
10.398,6562.5,312.92,-45.213
10.448,6578.1,310.66,-45.028
10.498,6593.5,308.41,-44.848
10.548,6608.9,306.18,-44.664
10.598,6624.2,303.95,-44.458
10.648,6639.3,301.73,-44.261
10.698,6654.3,299.52,-44.062
10.748,6669.2,297.32,-43.864
10.798,6684.1,295.13,-43.681
10.848,6698.8,292.95,-43.516
10.898,6713.4,290.78,-43.339
10.948,6727.8,288.62,-43.179
10.998,6742.2,286.47,-43.017
11.048,6756.5,284.32,-42.881
11.098,6770.6,282.18,-42.708
11.148,6784.7,280.05,-42.533
11.198,6798.7,277.92,-42.351
11.248,6812.5,275.81,-42.177
11.298,6826.2,273.71,-42
11.348,6839.9,271.61,-41.822
11.398,6853.4,269.52,-41.662
11.448,6866.8,267.45,-41.505
11.498,6880.1,265.37,-41.353
11.548,6893.4,263.31,-41.223
11.598,6906.5,261.25,-41.101
11.648,6919.5,259.2,-40.988
11.698,6932.4,257.15,-40.879
11.748,6945.2,255.11,-40.726
11.798,6957.9,253.08,-40.585
11.848,6970.5,251.05,-40.44
11.898,6983,249.04,-40.271
11.948,6995.4,247.03,-40.116
11.998,7007.7,245.02,-39.962
12.048,7019.9,243.03,-39.816
12.098,7032,241.04,-39.682
12.148,7044,239.06,-39.554
